"JMBA",12.11,11.99,-0.71,-0.04,12.07,33.41,"-0.33%",1.87,15042000,0.98,36.58,15.68,13526,"Jamba, Inc.",3/24/2016 10:57:52 AM
"FDP",41.830,41.780,0.948,+0.085,41.980,9.070,"+0.203%",2.320,51387000,0.530,16.059,14.863,45193,"Fresh Del Monte Produce, Inc. C",3/24/2016 10:57:53 AM
"STKL",4.62,4.58,-0.72,-0.14,4.48,4.56,"-3.03%",1.14,85339000,0.33,14.45,9.53,110954,"SunOpta, Inc.",3/24/2016 10:57:54 AM
"TFM",28.37,28.37,4.87,+0.06,28.43,6.19,"+0.21%",4.42,46991000,0.73,18.11,18.46,226725,"The Fresh Market, Inc.",3/24/2016 10:57:55 AM
"WFM",32.1200,31.9700,0.2830,-0.1999,31.9300,5.3700,"-0.6224%",3.7000,324615000,0.6707,20.4616,19.7038,1084077,"Whole Foods Market, Inc.",3/24/2016 10:59:55 AM
"CVGW",54.380,54.320,2.710,+0.405,54.850,6.950,"+0.745%",4.080,17384000,1.103,28.095,24.678,26693,"Calavo Growers, Inc.",3/24/2016 10:59:56 AM
"LMNR",14.83,14.84,1.06,-0.15,14.76,21.60,"-1.01%",2.08,14150000,2.09,44.48,30.58,4796,"Limoneira Co",3/24/2016 10:59:56 AM
,3/24/2016 10:59:56 AM
